id;etape;question;source;statut;date_verification;validateur;commentaire
1;1;Que signifient les lettres PJJ ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
2;1;De quel ministère dépend la Protection judiciaire de la jeunesse ? — 2 réponses attendues;JUSTICE_MINISTERE | JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
3;1;Relie chaque élément à ce qu’il désigne.;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
4;1;À quelle condition la PJJ peut-elle intervenir dans la situation individuelle d’un jeune ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
5;1;Remets cette logique dans l’ordre.;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
6;1;Complète cette logique : dans un cadre judiciaire, l’intervention de la PJJ est déclenchée par une ______ ou un mandat de l’autorité judiciaire.;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
7;1;Classe ces actions selon ce qu’elles permettent de faire.;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
8;1;À quoi l’évaluation d’une situation par la PJJ peut-elle contribuer ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
9;1;Quelles dimensions caractérisent l’intervention de la PJJ ? — 2 réponses attendues;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
10;1;Relie chaque fonction à son objectif.;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
11;2;Parmi ces propositions, conserve celle qui correspond à l’autorité judiciaire.;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
12;2;Classe ces éléments selon ce qu’ils représentent dans une juridiction.;JUSTICE_PARQUET | LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
13;2;Dans une juridiction pénale, les magistrats chargés d’exercer l’action publique forment le ministère public. Comment appelle-t-on leur organisation auprès de la juridiction ?;JUSTICE_PARQUET | LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
14;2;Remets ces éléments de l’organisation du ministère public du plus général au magistrat qui dirige le parquet.;JUSTICE_PARQUET | LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
15;2;Quel magistrat est spécialement associé à la justice des mineurs ?;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
16;2;Quelles affirmations décrivent correctement le juge des enfants ? — 2 réponses attendues;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
17;2;Relie chaque acteur à sa fonction.;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
18;2;Qui assure la défense des intérêts du mineur dans la procédure ?;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
19;2;Dans une procédure concernant un mineur, les parents ou le tuteur qui le représentent juridiquement sont désignés par une expression précise. Laquelle ?;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
